Input = Sprache;Sprache in %;Marvin Go in %;Stille in %;Inferenzdauer in ms
Sample167;100.0;0.0;0.0;5.000591278076172
Sample168;99.92;0.08;0.0;4.00090217590332
Sample169;70.29;29.71;0.0;4.00090217590332
Sample170;100.0;0.0;0.0;4.001855850219727
Sample171;100.0;0.0;0.0;5.00035285949707
Sample172;100.0;0.0;0.0;4.001379013061523
Sample173;99.98;0.02;0.0;4.001140594482422
Sample174;99.11;0.89;0.0;4.001140594482422
Sample175;100.0;0.0;0.0;4.000425338745117
Sample176;100.0;0.0;0.0;4.00090217590332
Sample177;100.0;0.0;0.0;4.000186920166016
Sample178;99.98;0.02;0.0;4.001379013061523
Sample179;56.94;42.68;0.38;5.001544952392578
Sample180;98.76;1.24;0.0;4.000425338745117
Sample181;92.32;7.68;0.0;4.00090217590332
Sample182;1.88;98.12;0.0;3.9992332458496094
Sample183;99.69;0.31;0.0;4.00090217590332
Sample184;99.96;0.04;0.0;4.000186920166016
Sample185;99.74;0.26;0.0;4.00090217590332
Sample186;99.01;0.99;0.0;4.002094268798828
Sample187;96.03;3.97;0.0;4.000663757324219
Sample188;59.72;40.28;0.0;5.00178337097168
Sample189;100.0;0.0;0.0;3.999948501586914
Sample190;100.0;0.0;0.0;4.001617431640625
Sample191;0.77;99.23;0.0;4.000663757324219
Sample192;100.0;0.0;0.0;4.001379013061523
Sample193;100.0;0.0;0.0;5.000114440917969
Sample194;100.0;0.0;0.0;4.001855850219727
Sample195;15.04;84.96;0.0;4.000425338745117
Sample196;100.0;0.0;0.0;5.001306533813477
Sample197;47.34;52.66;0.0;4.001140594482422
Sample198;100.0;0.0;0.0;5.00035285949707
Sample199;96.9;3.1;0.0;4.00090217590332
Sample200;100.0;0.0;0.0;3.999471664428711
Sample201;99.68;0.32;0.0;4.00090217590332
Sample202;100.0;0.0;0.0;4.000663757324219
Sample203;65.52;34.48;0.0;4.000663757324219
Sample204;100.0;0.0;0.0;4.00090217590332
Sample205;99.03;0.97;0.0;4.000425338745117
Sample206;94.87;5.13;0.0;3.999948501586914
Sample207;100.0;0.0;0.0;4.00090217590332
Sample208;98.33;1.67;0.0;4.002094268798828
Sample209;99.24;0.76;0.0;5.000829696655273
Sample210;99.9;0.1;0.0;4.000663757324219
Sample211;100.0;0.0;0.0;5.000591278076172
Sample212;4.81;95.19;0.0;4.002094268798828
Sample213;100.0;0.0;0.0;3.998994827270508
Sample214;100.0;0.0;0.0;4.00090217590332
Sample215;95.19;4.81;0.0;4.013299942016602
Sample216;99.51;0.49;0.0;3.992795944213867
Sample217;99.92;0.08;0.0;4.00090217590332
Sample218;1.18;0.0;98.82;5.001068115234375
Sample219;100.0;0.0;0.0;5.002737045288086
Sample220;100.0;0.0;0.0;3.9997100830078125
Sample221;100.0;0.0;0.0;5.000829696655273
Sample222;96.91;3.09;0.0;5.002260208129883
Sample223;99.99;0.01;0.0;4.000663757324219
Sample224;4.31;95.69;0.0;4.001855850219727
Sample225;0.0;100.0;0.0;3.9997100830078125
Sample226;92.39;7.61;0.0;4.000186920166016
Sample227;100.0;0.0;0.0;5.00178337097168
Sample228;98.56;1.44;0.0;4.00090217590332
Sample229;100.0;0.0;0.0;4.002094268798828
Sample230;100.0;0.0;0.0;4.00233268737793
Sample231;100.0;0.0;0.0;3.9992332458496094
Sample232;0.0;100.0;0.0;4.000663757324219
Sample233;100.0;0.0;0.0;4.002094268798828
Sample234;56.89;43.11;0.0;4.000425338745117
Sample235;100.0;0.0;0.0;4.000425338745117
Sample236;100.0;0.0;0.0;5.001306533813477
Sample237;100.0;0.0;0.0;4.003763198852539
Sample238;100.0;0.0;0.0;5.001068115234375
Sample239;97.98;2.02;0.0;4.001379013061523
Sample240;4.64;95.36;0.0;3.999948501586914
Sample241;34.56;65.44;0.0;4.000663757324219
Sample242;99.71;0.29;0.0;3.999948501586914
Sample243;99.22;0.78;0.0;4.001855850219727
Sample244;72.04;27.96;0.0;3.9992332458496094
Sample245;99.92;0.08;0.0;4.002094268798828
Sample246;97.49;2.51;0.0;4.000425338745117
Sample247;100.0;0.0;0.0;4.001140594482422
Sample248;100.0;0.0;0.0;4.00090217590332
Sample249;100.0;0.0;0.0;4.001617431640625
Sample250;96.51;3.49;0.0;4.000663757324219
Sample251;7.58;92.42;0.0;4.00090217590332
Sample252;99.96;0.04;0.0;4.000425338745117
Sample253;100.0;0.0;0.0;5.000829696655273
Sample254;99.96;0.04;0.0;4.00233268737793
Sample255;100.0;0.0;0.0;5.000114440917969
Sample256;0.69;99.31;0.0;4.000663757324219
Sample257;100.0;0.0;0.0;3.9985179901123047
Sample258;99.74;0.26;0.0;4.001855850219727
Sample259;0.66;99.34;0.0;4.0035247802734375
Sample260;99.99;0.01;0.0;4.000425338745117
Sample261;100.0;0.0;0.0;4.000425338745117
Sample262;99.81;0.19;0.0;5.001306533813477
Sample263;100.0;0.0;0.0;4.001379013061523
Sample264;0.04;99.96;0.0;4.000663757324219
Sample265;100.0;0.0;0.0;4.001140594482422
Sample266;100.0;0.0;0.0;3.999948501586914
Sample267;100.0;0.0;0.0;3.999948501586914
Sample268;99.99;0.01;0.0;3.9992332458496094
Sample269;99.54;0.46;0.0;5.001068115234375
Sample270;57.23;42.77;0.0;5.001068115234375
Sample271;99.71;0.29;0.0;5.002260208129883
Sample272;100.0;0.0;0.0;4.000663757324219
Sample273;99.97;0.03;0.0;4.000663757324219
Sample274;100.0;0.0;0.0;4.001617431640625
Sample275;99.94;0.06;0.0;5.000591278076172
Sample276;7.01;92.99;0.0;5.000829696655273
Sample277;100.0;0.0;0.0;5.002260208129883
Sample278;100.0;0.0;0.0;4.00090217590332
Sample279;100.0;0.0;0.0;4.002094268798828
Sample280;99.63;0.29;0.08;4.00233268737793
Sample281;100.0;0.0;0.0;4.00090217590332
Sample282;100.0;0.0;0.0;4.00090217590332
Sample283;100.0;0.0;0.0;3.999948501586914
Sample284;98.88;1.12;0.0;5.000114440917969
Sample285;98.31;1.69;0.0;4.001617431640625
Sample286;99.89;0.11;0.0;4.00090217590332
Sample287;100.0;0.0;0.0;5.002260208129883
Sample288;98.73;1.27;0.0;4.000425338745117
Sample289;99.96;0.04;0.0;4.001617431640625
Sample290;100.0;0.0;0.0;5.001544952392578
Sample291;99.99;0.01;0.0;4.000425338745117
Sample292;99.82;0.18;0.0;4.000425338745117
Sample293;100.0;0.0;0.0;4.001379013061523
Sample294;99.99;0.01;0.0;3.9997100830078125
Sample295;99.86;0.14;0.0;4.00090217590332
Sample296;99.98;0.02;0.0;4.001617431640625
Sample297;99.54;0.46;0.0;4.000186920166016
Sample298;100.0;0.0;0.0;4.001379013061523
Sample299;92.38;7.62;0.0;3.9997100830078125

Input = Marvin Go;Sprache in %;Marvin Go in %;Stille in %;Inferenzdauer in ms
Zielwert;0;100;0;N/A
Sample0;20.02;79.98;0.0;5.001068115234375
Sample1;0.0;100.0;0.0;5.002260208129883
Sample2;0.0;100.0;0.0;5.001306533813477
Sample3;0.01;99.99;0.0;4.000663757324219
Sample4;0.08;99.92;0.0;3.999948501586914
Sample5;0.0;100.0;0.0;4.000186920166016
Sample6;0.13;99.87;0.0;4.001855850219727
Sample7;0.0;100.0;0.0;4.001617431640625
Sample8;0.22;99.78;0.0;4.002094268798828
Sample9;96.22;3.78;0.0;4.000425338745117
Sample10;0.01;99.99;0.0;3.999471664428711
Sample11;3.3;96.7;0.0;4.000425338745117
Sample12;75.45;24.55;0.0;3.999948501586914
Sample13;42.31;57.69;0.0;4.000425338745117
Sample14;0.0;100.0;0.0;4.000663757324219
Sample15;80.9;19.1;0.0;4.000425338745117
Sample16;69.52;30.48;0.0;5.00178337097168
Sample17;20.13;79.87;0.0;3.9997100830078125
Sample18;0.0;100.0;0.0;4.000425338745117
Sample19;0.0;100.0;0.0;4.000186920166016
Sample20;0.0;100.0;0.0;3.9997100830078125
Sample21;48.77;51.23;0.0;5.000829696655273
Sample22;0.0;100.0;0.0;4.001379013061523
Sample23;100.0;0.0;0.0;5.000114440917969
Sample24;100.0;0.0;0.0;4.001140594482422
Sample25;100.0;0.0;0.0;4.000663757324219
Sample26;99.99;0.01;0.0;4.000186920166016
Sample27;100.0;0.0;0.0;4.00090217590332
Sample28;0.0;100.0;0.0;4.00233268737793
Sample29;4.1;95.9;0.0;3.999471664428711
Sample30;0.03;99.97;0.0;4.00090217590332
Sample31;0.07;99.93;0.0;4.00090217590332
Sample32;0.28;99.72;0.0;3.999471664428711
Sample33;0.51;99.49;0.0;4.001617431640625
Sample34;0.0;100.0;0.0;4.00090217590332
Sample35;0.0;100.0;0.0;3.9997100830078125
Sample36;1.33;98.67;0.0;4.001379013061523
Sample37;0.05;99.95;0.0;4.001379013061523
Sample38;0.05;99.95;0.0;4.001855850219727
Sample39;0.07;99.93;0.0;5.000114440917969
Sample40;5.49;94.51;0.0;4.001140594482422
Sample41;1.75;98.25;0.0;5.002260208129883
Sample42;0.0;100.0;0.0;3.9992332458496094
Sample43;0.23;99.77;0.0;4.001379013061523
Sample44;0.02;99.98;0.0;3.9992332458496094
Sample45;1.02;98.98;0.0;3.999471664428711
Sample46;0.01;99.99;0.0;4.00090217590332
Sample47;100.0;0.0;0.0;5.002021789550781
Sample48;1.14;98.86;0.0;4.000663757324219
Sample49;98.21;1.79;0.0;4.001855850219727
Sample50;100.0;0.0;0.0;4.000663757324219
Sample51;100.0;0.0;0.0;4.00233268737793
Sample52;0.01;99.99;0.0;4.001855850219727
Sample53;0.11;99.89;0.0;4.000663757324219
Sample54;95.58;4.42;0.0;5.000829696655273
Sample55;10.17;89.83;0.0;4.001379013061523
Sample56;15.1;84.9;0.0;5.001306533813477
Sample57;0.0;100.0;0.0;4.000186920166016
Sample58;0.01;99.99;0.0;4.002571105957031
Sample59;0.0;100.0;0.0;3.999948501586914
Sample60;0.0;100.0;0.0;4.002094268798828
Sample61;0.08;99.92;0.0;5.000829696655273
Sample62;0.03;99.97;0.0;4.000425338745117
Sample63;0.0;100.0;0.0;4.001379013061523
Sample64;0.0;100.0;0.0;5.00035285949707
Sample65;0.39;99.61;0.0;5.00178337097168
Sample66;0.0;100.0;0.0;4.001140594482422
Sample67;0.0;100.0;0.0;4.004955291748047
Sample68;0.35;99.65;0.0;4.000663757324219
Sample69;0.1;99.9;0.0;3.9997100830078125
Sample70;0.03;99.97;0.0;4.001379013061523
Sample71;19.54;80.46;0.0;4.00090217590332
Sample72;0.01;99.99;0.0;4.000425338745117
Sample73;0.0;100.0;0.0;4.001379013061523
Sample74;0.01;99.99;0.0;4.000663757324219
Sample75;0.0;100.0;0.0;4.001617431640625
Sample76;0.07;99.93;0.0;5.000829696655273
Sample77;0.96;99.04;0.0;4.000186920166016
Sample78;0.47;99.53;0.0;4.000663757324219
Sample79;90.5;9.5;0.0;4.00090217590332
Sample80;98.98;1.02;0.0;4.001855850219727
Sample81;97.85;2.15;0.0;4.000663757324219
Sample82;9.78;90.22;0.0;4.00090217590332
Sample83;99.98;0.02;0.0;4.001855850219727
Sample84;99.65;0.35;0.0;3.999471664428711
Sample85;32.85;67.15;0.0;4.001617431640625
Sample86;85.96;14.04;0.0;3.999948501586914
Sample87;100.0;0.0;0.0;4.001855850219727
Sample88;5.55;94.45;0.0;5.000591278076172
Sample89;8.08;91.92;0.0;4.001617431640625
Sample90;0.22;99.78;0.0;5.00035285949707
Sample91;15.51;84.49;0.0;4.001379013061523
Sample92;99.92;0.08;0.0;4.001379013061523
Sample93;100.0;0.0;0.0;4.00090217590332
Sample94;1.03;98.97;0.0;4.000663757324219
Sample95;0.03;99.97;0.0;5.00035285949707
Sample96;0.0;100.0;0.0;4.002094268798828
Sample97;0.24;99.76;0.0;3.999471664428711
Sample98;0.0;100.0;0.0;4.002094268798828
Sample99;0.17;99.83;0.0;4.000663757324219
Sample100;74.7;25.3;0.0;4.001379013061523
Sample101;0.02;99.98;0.0;4.001140594482422
Sample102;6.78;93.22;0.0;5.000829696655273
Sample103;2.95;97.05;0.0;3.9997100830078125
Sample104;1.21;98.79;0.0;4.000663757324219
Sample105;15.86;84.14;0.0;4.000425338745117
Sample106;0.0;100.0;0.0;4.00090217590332
Sample107;0.0;100.0;0.0;4.001855850219727
Sample108;0.0;100.0;0.0;5.00035285949707
Sample109;56.69;43.31;0.0;4.001379013061523
Sample110;3.88;96.12;0.0;5.005121231079102
Sample111;0.01;99.99;0.0;4.00090217590332
Sample112;56.69;43.31;0.0;5.002021789550781
Sample113;0.33;99.67;0.0;3.999948501586914
Sample114;3.88;96.12;0.0;5.00178337097168
Sample115;7.37;92.63;0.0;3.9997100830078125
Sample116;7.37;92.63;0.0;5.000829696655273
Sample117;0.03;99.97;0.0;4.002571105957031
Sample118;4.64;95.36;0.0;4.000663757324219
Sample119;0.01;99.99;0.0;4.00090217590332
Sample120;0.07;99.93;0.0;3.999948501586914
Sample121;0.45;99.55;0.0;4.001140594482422
Sample122;90.84;9.16;0.0;5.001306533813477
Sample123;0.07;99.93;0.0;4.000186920166016
Sample124;9.54;90.46;0.0;5.002498626708984
Sample125;0.04;99.96;0.0;4.000186920166016
Sample126;1.11;98.89;0.0;4.000425338745117
Sample127;15.0;85.0;0.0;4.00090217590332
Sample128;0.2;99.8;0.0;3.999948501586914
Sample129;12.1;87.9;0.0;4.000186920166016
Sample130;0.0;100.0;0.0;5.001306533813477
Sample131;0.02;99.98;0.0;4.00090217590332
Sample132;0.0;100.0;0.0;4.003047943115234
Sample133;0.09;99.91;0.0;4.001140594482422
Sample134;0.02;99.98;0.0;3.9997100830078125
Sample135;0.0;100.0;0.0;4.001379013061523
Sample136;7.32;92.68;0.0;4.001617431640625
Sample137;0.07;99.93;0.0;4.000663757324219
Sample138;3.92;96.08;0.0;3.999948501586914
Sample139;0.0;100.0;0.0;3.9997100830078125
Sample140;0.0;100.0;0.0;4.002571105957031
Sample141;0.0;100.0;0.0;4.002094268798828
Sample142;0.0;100.0;0.0;3.9997100830078125
Sample143;0.0;100.0;0.0;5.002021789550781
Sample144;6.09;93.91;0.0;4.00090217590332
Sample145;0.04;99.96;0.0;3.9987564086914062
Sample146;0.0;100.0;0.0;5.002260208129883
Sample147;35.17;64.83;0.0;3.9987564086914062
Sample148;0.62;99.38;0.0;4.00090217590332
Sample149;0.37;99.63;0.0;5.002021789550781
Sample150;0.06;99.94;0.0;4.000663757324219
Sample151;20.57;79.43;0.0;4.00090217590332
Sample152;0.06;99.94;0.0;3.999471664428711
Sample153;11.33;14.56;74.11;4.0035247802734375
Sample154;0.01;99.99;0.0;5.001068115234375
Sample155;0.84;99.16;0.0;4.001379013061523
Sample156;0.04;99.96;0.0;3.9997100830078125
Sample157;4.07;95.93;0.0;4.002094268798828
Sample158;20.8;79.2;0.0;4.000425338745117
Sample159;0.09;99.91;0.0;3.9992332458496094
Sample160;1.47;98.53;0.0;4.001617431640625
Sample161;0.02;99.98;0.0;4.001379013061523
Sample162;5.55;94.45;0.0;3.9997100830078125
Sample163;0.15;99.85;0.0;4.002094268798828
Sample164;0.53;99.47;0.0;5.000591278076172
Sample165;0.0;100.0;0.0;5.001068115234375
Sample166;0.0;100.0;0.0;4.001140594482422
Sample167;0.0;100.0;0.0;5.000114440917969
Sample168;0.0;100.0;0.0;4.002094268798828
Sample169;0.0;100.0;0.0;4.000663757324219
Sample170;0.0;100.0;0.0;3.9997100830078125
Sample171;0.01;99.99;0.0;4.001855850219727
Sample172;0.0;100.0;0.0;5.00035285949707
Sample173;0.02;99.98;0.0;4.001379013061523
Sample174;0.13;99.87;0.0;5.00178337097168
Sample175;0.62;99.38;0.0;4.005193710327148
Sample176;0.0;100.0;0.0;4.999399185180664
Sample177;0.0;100.0;0.0;4.001379013061523
Sample178;1.21;98.79;0.0;4.00090217590332
Sample179;0.0;100.0;0.0;4.000663757324219
Sample180;1.09;98.91;0.0;4.999876022338867
Sample181;0.0;100.0;0.0;4.001379013061523
Sample182;0.08;99.92;0.0;4.000663757324219
Sample183;100.0;0.0;0.0;4.001379013061523
Sample184;0.0;100.0;0.0;5.000829696655273
Sample185;0.0;100.0;0.0;4.001617431640625
Sample186;0.0;100.0;0.0;4.001855850219727
Sample187;0.0;100.0;0.0;3.9997100830078125
Sample188;3.0;97.0;0.0;4.001379013061523
Sample189;0.01;99.99;0.0;5.00035285949707
Sample190;0.01;99.99;0.0;4.00090217590332
Sample191;93.88;6.12;0.0;4.001617431640625
Sample192;0.0;100.0;0.0;4.001855850219727
Sample193;0.0;100.0;0.0;4.001855850219727
Sample194;0.0;100.0;0.0;4.000663757324219
Sample195;0.01;99.99;0.0;4.000663757324219
Sample196;0.13;99.87;0.0;4.399538040161133
Sample197;0.0;100.0;0.0;5.002021789550781
Sample198;0.01;99.99;0.0;4.001140594482422
Sample199;0.0;100.0;0.0;4.001140594482422
Sample200;0.01;99.99;0.0;4.001140594482422
Sample201;0.0;100.0;0.0;4.001140594482422
Sample202;0.01;99.99;0.0;5.001068115234375
Sample203;0.0;100.0;0.0;4.00090217590332
Sample204;0.0;100.0;0.0;4.001140594482422
Sample205;0.05;99.95;0.0;3.9987564086914062
Sample206;0.02;99.98;0.0;4.00233268737793
Sample207;0.01;99.99;0.0;4.000663757324219
Sample208;0.05;99.95;0.0;3.9997100830078125
Sample209;0.01;99.99;0.0;4.000663757324219
Sample210;0.0;100.0;0.0;4.000663757324219
Sample211;0.0;100.0;0.0;4.001140594482422
Sample212;0.02;99.98;0.0;4.000663757324219
Sample213;0.0;100.0;0.0;3.9997100830078125
Sample214;0.0;100.0;0.0;5.00178337097168
Sample215;5.27;94.73;0.0;4.000186920166016
Sample216;0.01;99.99;0.0;4.001855850219727
Sample217;0.08;99.92;0.0;4.842996597290039
Sample218;0.0;100.0;0.0;3.9899349212646484
Sample219;100.0;0.0;0.0;4.000663757324219
Sample220;100.0;0.0;0.0;4.000186920166016
Sample221;30.34;69.66;0.0;4.001379013061523
Sample222;9.0;91.0;0.0;4.000186920166016
Sample223;0.0;100.0;0.0;4.002094268798828
Sample224;86.11;13.89;0.0;5.00035285949707
Sample225;99.85;0.15;0.0;4.001379013061523
Sample226;4.67;95.33;0.0;4.002094268798828
Sample227;97.08;2.92;0.0;3.9997100830078125
Sample228;11.14;88.86;0.0;3.9997100830078125
Sample229;0.75;99.25;0.0;4.002094268798828
Sample230;1.04;1.51;97.45;5.00178337097168
Sample231;48.17;51.83;0.0;3.9992332458496094
Sample232;61.44;38.56;0.0;5.000829696655273
Sample233;0.93;1.28;97.78;4.001617431640625
Sample234;49.12;50.88;0.0;3.999471664428711
Sample235;0.0;100.0;0.0;5.002498626708984
Sample236;0.0;100.0;0.0;5.000829696655273
Sample237;0.0;100.0;0.0;4.001140594482422
Sample238;0.0;100.0;0.0;4.001140594482422
Sample239;0.16;99.84;0.0;4.003047943115234
Sample240;0.08;99.92;0.0;5.001544952392578
Sample241;0.0;100.0;0.0;3.999948501586914
Sample242;0.82;99.18;0.0;4.000663757324219
Sample243;1.48;98.52;0.0;4.002571105957031
Sample244;7.89;92.11;0.0;3.9997100830078125
Sample245;30.04;69.96;0.0;5.002498626708984
Sample246;3.93;96.07;0.0;3.999948501586914
Sample247;0.0;100.0;0.0;4.000663757324219
Sample248;0.0;100.0;0.0;5.002021789550781
Sample249;0.01;99.99;0.0;4.001140594482422
Sample250;2.16;97.84;0.0;3.9997100830078125
